"provinsi","tahun","avg(i.nilai)"
SULAWESI SELATAN,2020,62.58945685853654
MALUKU,2020,51.528767616861494
SULAWESI TENGGARA,2020,57.01519507389929
PAPUA,2020,29.84310319550246
GORONTALO,2020,64.12547620852361
SULAWESI BARAT,2020,57.18565160869568
MALUKU UTARA,2020,52.52859606867358
PAPUA BARAT,2020,37.449570881102794
ACEH,2020,57.36147552986468
RIAU,2020,61.20110582086737
SUMATERA UTARA,2020,52.20276155842712
JAMBI,2020,60.555541225160894
SUMATERA BARAT,2020,66.11818786853455
SUMATERA SELATAN,2020,60.29113977111794
BENGKULU,2020,56.72545360775535
JAWA BARAT,2020,69.85609796630268
LAMPUNG,2020,62.33205702217648
KEPULAUAN BANGKA BELITUNG,2020,70.28916569579289
KEPULAUAN RIAU,2020,61.256272829090925
JAWA TENGAH,2020,68.87309263196305
DAERAH ISTIMEWA YOGYAKARTA,2020,76.73630577040817
JAWA TIMUR,2020,68.05229208405663
BANTEN,2020,63.34641800565419
BALI,2020,74.77523806446543
NUSA TENGGARA BARAT,2020,69.06590493233833
NUSA TENGGARA TIMUR,2020,51.796204415399956
KALIMANTAN BARAT,2020,53.62247508911861
KALIMANTAN TENGAH,2020,55.12153923114519
KALIMANTAN SELATAN,2020,61.360820371980566
KALIMANTAN TIMUR,2020,60.42543889536276
KALIMANTAN UTARA,2020,49.669231120805335
SULAWESI UTARA,2020,60.5403761614617
SULAWESI TENGAH,2020,59.65136309016826
